handle,condition,week,feed_average_prop_in_network_posts
aidenuy.bsky.social,reverse_chronological,7.0,0.006
aidenuy.bsky.social,reverse_chronological,8.0,0.007
aidrics.bsky.social,representative_diversification,1.0,0.0
aidrics.bsky.social,representative_diversification,2.0,0.0
aidrics.bsky.social,representative_diversification,3.0,0.0
aidrics.bsky.social,representative_diversification,4.0,0.024
aidrics.bsky.social,representative_diversification,5.0,0.028
aidrics.bsky.social,representative_diversification,6.0,0.029
aidrics.bsky.social,representative_diversification,7.0,0.03
aidrics.bsky.social,representative_diversification,8.0,0.029
ajdixon.bsky.social,engagement,1.0,0.0
ajdixon.bsky.social,engagement,2.0,0.0
ajdixon.bsky.social,engagement,3.0,0.007
ajdixon.bsky.social,engagement,4.0,0.0
ajdixon.bsky.social,engagement,5.0,0.0
ajdixon.bsky.social,engagement,6.0,0.0
ajdixon.bsky.social,engagement,7.0,0.002
ajdixon.bsky.social,engagement,8.0,0.013
ajsacki.bsky.social,reverse_chronological,1.0,0.03
ajsacki.bsky.social,reverse_chronological,2.0,0.006
ajsacki.bsky.social,reverse_chronological,3.0,0.035
ajsacki.bsky.social,reverse_chronological,4.0,0.059
ajsacki.bsky.social,reverse_chronological,5.0,0.062
ajsacki.bsky.social,reverse_chronological,6.0,0.092
ajsacki.bsky.social,reverse_chronological,7.0,0.186
ajsacki.bsky.social,reverse_chronological,8.0,0.2
aks5000.bsky.social,engagement,1.0,0.03
aks5000.bsky.social,engagement,2.0,0.006
aks5000.bsky.social,engagement,3.0,0.035
aks5000.bsky.social,engagement,4.0,0.03
aks5000.bsky.social,engagement,5.0,0.039
aks5000.bsky.social,engagement,6.0,0.113
aks5000.bsky.social,engagement,7.0,0.149
aks5000.bsky.social,engagement,8.0,0.194
alandorm58.bsky.social,reverse_chronological,1.0,0.0
alandorm58.bsky.social,reverse_chronological,2.0,0.008
alandorm58.bsky.social,reverse_chronological,3.0,0.0
alandorm58.bsky.social,reverse_chronological,4.0,0.072
alandorm58.bsky.social,reverse_chronological,5.0,0.087
alandorm58.bsky.social,reverse_chronological,6.0,0.076
alandorm58.bsky.social,reverse_chronological,7.0,0.064
alandorm58.bsky.social,reverse_chronological,8.0,0.12
albenloshi.bsky.social,representative_diversification,1.0,0.0
albenloshi.bsky.social,representative_diversification,2.0,0.0
albenloshi.bsky.social,representative_diversification,3.0,0.181
albenloshi.bsky.social,representative_diversification,4.0,0.266
albenloshi.bsky.social,representative_diversification,5.0,0.287
albenloshi.bsky.social,representative_diversification,6.0,0.298
albenloshi.bsky.social,representative_diversification,7.0,0.227
albenloshi.bsky.social,representative_diversification,8.0,0.319
alberttd.bsky.social,engagement,1.0,0.0
alberttd.bsky.social,engagement,2.0,0.0
alberttd.bsky.social,engagement,3.0,0.055
alberttd.bsky.social,engagement,4.0,0.198
alberttd.bsky.social,engagement,5.0,0.187
alberttd.bsky.social,engagement,6.0,0.172
alberttd.bsky.social,engagement,7.0,0.179
alberttd.bsky.social,engagement,8.0,0.135
alberttommy.bsky.social,reverse_chronological,1.0,0.0
alberttommy.bsky.social,reverse_chronological,2.0,0.0
alberttommy.bsky.social,reverse_chronological,3.0,0.0
